,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
50,Michael Frolik\frolimi01,2009,2020,LW,834,158,223,381,24,313,,,,,,,Kladno,1988-02-17,
51,Miroslav Frycer\frycemi01,1982,1989,RW,415,147,183,330,-83,486,,,,,,,Ostrava,1959-09-27,
52,Marian Gaborik\gaborma01,2001,2018,RW,1035,407,408,815,95,492,,,,,,,Trencin,1982-02-14,
53,Stanislav Gron\gronst01,2001,2001,RW,1,0,0,0,1,0,,,,,,,Bratislava,1978-10-28,
54,Michal Grosek\grosemi01,1994,2004,LW,526,84,137,221,51,509,,,,,,,Vyskov,1975-06-01,
55,Radko Gudas\gudasra01,2013,2020,D,463,26,93,119,32,613,,,,,,,Prague,1990-06-05,
56,Miloslav Guren\gurenmi01,1999,2000,D,36,1,3,4,-6,16,,,,,,,Uherske Hradiste,1976-09-24,
57,Jaroslav Halak\halakja01,2007,2020,G,509,0,11,11,0,14,509,264,165,58,.916,2.49,Bratislava,1985-05-13,
58,Radek Hamr\hamrra01,1993,1994,D,11,0,0,0,-14,0,,,,,,,Usti nad Labem,1974-06-15,
59,Roman Hamrlik\hamrlro01,1993,2013,D,1395,155,483,638,-49,1408,,,,,,,Zlin,1974-04-12,
60,Michal Handzus\handzmi01,1999,2014,C,1009,185,298,483,14,498,,,,,,,Banska Bystrica,1977-03-11,
61,Martin Hanzal\hanzama01,2008,2019,C,673,127,211,338,-43,574,,,,,,,Pisek,1987-02-20,
62,Dominik Hasek*\hasekdo01,1991,2008,G,735,0,19,19,0,170,735,389,223,95,.922,2.20,Pardubice,1965-01-29,
63,Martin Havlat\havlama01,2001,2016,RW,790,242,352,594,78,404,,,,,,,Mlada Boleslav,1981-04-19,
64,Radoslav Hecl\heclra01,2003,2003,D,14,0,0,0,0,2,,,,,,,Partizanske,1974-10-11,
65,Jan Hejda\hejdaja01,2007,2015,D,627,25,110,135,-7,317,,,,,,,Prague,1978-06-18,
66,Milan Hejduk\hejdumi01,1999,2013,RW,1020,375,430,805,101,316,,,,,,,Usti nad Labem,1976-02-14,
67,Ales Hemsky\hemskal01,2003,2018,RW,845,174,398,572,-53,353,,,,,,,Pardubice,1983-08-13,
68,Jan Hlavac\hlavaja01,2000,2008,LW,436,90,134,224,-4,138,,,,,,,Prague,1976-09-20,
69,Ivan Hlinka\hlinkiv01,1982,1983,C,137,42,81,123,18,28,,,,,,,Most,1950-01-26,2004-08-16
70,Jaroslav Hlinka\hlinkja01,2008,2008,C,63,8,20,28,6,16,,,,,,,Prague,1976-11-10,
71,Milan Hnilicka\hnilimi01,2000,2004,G,121,0,2,2,0,14,121,29,67,13,.900,3.31,Pardubice,1973-06-25,
72,Milos Holan\holanmi01,1994,1996,D,49,5,11,16,-12,42,,,,,,,Bilovec,1971-04-22,
73,Bobby Holik\holikbo01,1991,2009,C,1314,326,421,747,115,1423,,,,,,,Jihlava,1971-01-01,
74,Roman Horak\horakro01,2012,2014,C,84,6,13,19,-3,16,,,,,,,Ceske Budejovice,1991-05-21,
75,Miloslav Horava\horavmi01,1989,1991,D,80,5,17,22,10,38,,,,,,,Kladno,1961-08-14,
76,Marcel Hossa\hossama02,2002,2008,LW,237,31,30,61,-6,106,,,,,,,Ilava,1981-10-12,
77,Marian Hossa\hossama01,1998,2017,RW,1309,525,609,1134,245,628,,,,,,,Stara Lubovna,1979-01-12,
78,Martin Hostak\hostama01,1991,1992,C,55,3,11,14,0,24,,,,,,,Hradec Kralove,1967-11-11,
79,Jan Hrdina\hrdinja01,1999,2006,C,513,101,196,297,13,341,,,,,,,Hradec Kralove,1976-02-05,
80,Jiri Hrdina\hrdinji01,1988,1992,C,250,45,85,130,34,92,,,,,,,Prague,1958-01-05,
81,Marek Hrivik\hrivima01,2016,2018,LW,24,0,3,3,1,2,,,,,,,Cadca,1991-08-28,
82,Petr Hubacek\hubacpe01,2001,2001,C,6,1,0,1,-1,2,,,,,,,Brno,1979-09-02,
83,Jiri Hudler\hudleji01,2004,2017,RW/C,708,164,264,428,40,243,,,,,,,Olomouc,1984-01-04,
84,Ivan Huml\humliv01,2002,2004,LW,49,6,12,18,2,36,,,,,,,Kladno,1981-09-06,
85,Miroslav Ihnacak\ihnacmi01,1986,1989,LW,56,8,9,17,-4,39,,,,,,,Poprad,1962-11-19,
86,Peter Ihnacak\ihnacpe01,1983,1990,C,417,102,165,267,-41,175,,,,,,,Poprad,1957-05-03,
87,Jaromir Jagr\jagrja01,1991,2018,RW,1733,766,1155,1921,322,1167,,,,,,,Kladno,1972-02-15,
88,Tomas Jelinek\jelinto01,1993,1993,RW,49,7,6,13,-21,52,,,,,,,Prague,1962-04-29,
89,Jakub Jerabek\jerabja01,2018,2019,D,37,2,6,8,-5,8,,,,,,,Pilsen,1991-05-12,
90,Jaroslav Jirik\jirikja01,1970,1970,LW,3,0,0,0,1,0,,,,,,,Vojnuv Mestec,1939-12-10,2011-07-11
91,Michal Jordan\jordami01,2013,2016,D,79,3,4,7,-14,18,,,,,,,Zlin,1990-07-17,
92,Milan Jurcina\jurcimi01,2006,2012,D,430,22,59,81,-28,280,,,,,,,Liptovsky Mikulas,1983-06-07,
93,Tomas Jurco\jurcoto01,2014,2020,RW,213,22,30,52,-10,64,,,,,,,Kosice,1992-12-28,
94,Frantisek Kaberle\kaberfr01,2000,2009,D,523,29,164,193,-19,218,,,,,,,Kladno,1973-11-08,
95,Tomas Kaberle\kaberto01,1999,2013,D,984,87,476,563,17,260,,,,,,,Rakovnik,1978-03-02,
96,Petr Kalus\kaluspe01,2007,2010,LW,11,4,1,5,0,6,,,,,,,Ostrava,1987-06-29,
97,Tomas Kana\kanato01,2010,2010,C,6,0,2,2,2,2,,,,,,,Opava,1987-11-29,
98,Petr Kanko\kankope01,2006,2006,RW,10,1,0,1,1,0,,,,,,,Pribram,1984-02-07,
99,Ladislav Karabin\karabla01,1994,1994,LW,9,0,0,0,0,2,,,,,,,Spisska Nova Ves,1970-02-16,
100,Lukas Kaspar\kaspalu01,2008,2009,RW,16,2,2,4,-2,8,,,,,,,Most,1985-09-23,
101,Michal Kempny\kempnmi01,2017,2020,D,211,14,45,59,47,124,,,,,,,Hodonin,1990-09-08,
102,Jakub Kindl\kindlja01,2010,2017,D,331,16,58,74,14,181,,,,,,,Sumperk,1987-02-10,
103,Jakub Klepis\klepija01,2006,2007,C,66,4,10,14,-13,36,,,,,,,Prague,1984-06-05,
104,Rostislav Klesla\kleslro01,2001,2014,D,659,48,111,159,-46,620,,,,,,,Novy Jicin,1982-03-21,
105,Petr Klima\klimape01,1986,1999,W,786,313,260,573,-122,671,,,,,,,Chomutov,1964-12-23,
106,Tomas Kloucek\kloucto01,2001,2006,D,141,2,8,10,-9,250,,,,,,,Prague,1980-03-07,
107,David Koci\kocida01,2007,2011,LW,142,3,1,4,-13,461,,,,,,,Prague,1981-05-12,
108,Ladislav Kohn\kohnla01,1996,2003,RW,186,14,28,42,-41,125,,,,,,,Uherske Hradiste,1975-03-04,
109,Pavel Kolarik\kolarpa01,2001,2002,D,23,0,0,0,-2,10,,,,,,,Vyskov,1972-10-24,
110,Juraj Kolnik\kolniju01,2001,2007,RW,240,46,49,95,-13,84,,,,,,,Nitra,1980-11-13,
111,Tomas Kopecky\kopecto01,2006,2015,C,578,68,106,174,-54,307,,,,,,,Ilava,1982-02-05,
112,Ales Kotalik\kotalal01,2002,2011,RW,542,136,148,284,-46,348,,,,,,,Jindrichuv Hradec,1978-12-23,
113,Milan Kraft\kraftmi01,2001,2004,C,207,41,41,82,-45,52,,,,,,,Plzen,1980-01-17,
114,Lukas Krajicek\krajilu01,2002,2010,D,328,11,61,72,-30,245,,,,,,,Prostejov,1983-03-11,
115,David Krejci\krejcda01,2007,2020,C,890,205,470,675,131,310,,,,,,,Sternberk,1986-04-28,
116,Kamil Kreps\krepska01,2007,2010,C,232,18,42,60,4,71,,,,,,,Litomerice,1984-11-18,
117,Jaroslav Kristek\kristja01,2003,2003,RW,6,0,0,0,-2,4,,,,,,,Gottwaldov/Zlin,1980-03-16,
118,Robert Kron\kronro01,1991,2002,LW,771,144,194,338,-72,119,,,,,,,Brno,1967-02-27,
119,Vlastimil Kroupa\kroupvl01,1994,1998,D,105,4,19,23,-46,66,,,,,,,Most,1975-04-27,
120,Filip Kuba\kubafi01,1999,2013,D,836,70,263,333,-56,361,,,,,,,Ostrava,1976-12-29,
121,Tomas Kubalik\kubalto01,2011,2012,RW,12,1,3,4,-6,6,,,,,,,Plzen,1990-05-01,
122,Pavel Kubina\kubinpa01,1998,2012,D,970,110,276,386,-102,1123,,,,,,,Celadna,1977-04-15,
123,Frantisek Kucera\kucerfr01,1991,2002,D,465,24,95,119,13,251,,,,,,,Prague,1968-02-03,
124,Kristian Kudroc\kudrokr01,2001,2004,D,26,2,2,4,0,38,,,,,,,Michalovce,1981-05-21,
125,Tomas Kundratek\kundrto01,2012,2013,D,30,1,6,7,-5,10,,,,,,,Prerov,1989-12-26,
126,Tomas Kurka\kurkato01,2003,2004,LW,17,3,2,5,1,2,,,,,,,Most,1981-12-14,
127,Zdenek Kutlak\kutlazd01,2001,2004,D,16,1,2,3,-4,4,,,,,,,Ceske Budejovice,1980-02-13,
128,Milan Kytnar\kytnami01,2012,2012,C,1,0,0,0,0,0,,,,,,,Topolcany,1989-05-19,
129,Robert Lang\langro01,1993,2010,C,989,261,442,703,55,422,,,,,,,Teplice,1970-12-19,
130,Rick Lanz\lanzri01,1981,1992,D,569,65,221,286,-102,448,,,,,,,Karlovy Vary,1961-09-16,
131,Jan Lasak\lasakja01,2002,2003,G,6,0,0,0,0,2,6,0,4,0,.874,4.04,Zvolen,1979-04-10,
132,Jiri Latal\latalji01,1990,1992,D,92,12,36,48,-14,24,,,,,,,Olomouc,1967-02-02,
133,Igor Liba\libaig01,1989,1989,LW,37,7,18,25,-3,36,,,,,,,Kosice,1960-11-04,
134,Richard Lintner\lintnri01,2000,2003,D,112,8,12,20,-18,54,,,,,,,Trencin,1977-11-15,
135,Martin Lojek\lojekma01,2007,2008,D,5,0,1,1,1,0,,,,,,,Brno,1985-08-19,
136,Jan Ludvig\ludvija01,1983,1989,RW,314,54,87,141,-83,418,,,,,,,Liberec,1961-09-17,
137,Ivan Majesky\majesiv01,2003,2006,D,202,8,23,31,-27,234,,,,,,,Banska Bystrica,1976-09-02,
138,Tomas Malec\malecto01,2003,2007,D,46,0,2,2,-2,47,,,,,,,Skalica,1982-05-13,
139,Marek Malik\malikma01,1995,2009,D,691,33,135,168,133,620,,,,,,,Ostrava,1975-06-24,
140,Josef Marha\marhajo01,1996,2001,C,159,21,32,53,-8,32,,,,,,,Havlickuv Brod,1976-06-02,
141,Martin Marincin\marinma01,2014,2020,D,215,4,26,30,-10,104,,,,,,,Kosice,1992-02-18,
142,Radek Martinek\martira01,2002,2014,D,486,25,85,110,-11,280,,,,,,,Havlicko Brod,1976-08-31,
143,Marek Mazanec\mazanma01,2014,2017,G,31,0,1,1,0,0,31,8,13,4,.895,2.98,Pisek,1991-07-18,
144,Josef Melichar\melicjo01,2001,2009,D,349,7,42,49,-26,300,,,,,,,Ceske Budejovice,1979-01-20,
145,Andrej Meszaros\meszaan01,2006,2015,D,645,63,175,238,25,457,,,,,,,Povazska Bystrica,1985-10-13,
146,Branislav Mezei\mezeibr01,2001,2008,D,240,5,19,24,-14,311,,,,,,,Nitra,1980-10-08,
147,Milan Michalek\michami01,2004,2017,RW,747,208,238,446,13,394,,,,,,,Jindrichuv Hradec,1984-12-07,
148,Zbynek Michalek\michazb01,2004,2017,D,784,42,136,178,-11,322,,,,,,,Jindrichuv Hradec,1982-12-23,
149,Vladimir Mihalik\mihalvl01,2009,2010,D,15,0,3,3,-7,8,,,,,,,Presov,1987-01-29,
150,Petr Mika\mikape01,2000,2000,LW,3,0,0,0,-1,0,,,,,,,Prague,1979-02-12,
151,Stan Mikita*\mikitst01,1959,1980,C/RW,1396,541,926,1467,329,1264,,,,,,,Sokolce,1940-05-20,2018-08-07
152,Jaroslav Modry\modryja01,1994,2008,D,725,49,201,250,-23,510,,,,,,,Ceske Budejovice,1971-02-27,
153,Tomas Mojzis\mojzito01,2006,2009,D,17,1,2,3,1,14,,,,,,,Kolin,1982-05-02,
154,David Moravec\moravda01,2000,2000,RW,1,0,0,0,-1,0,,,,,,,Vitkovice,1973-03-24,
155,Vojtech Mozik\mozikvo01,2016,2016,D,7,0,0,0,0,4,,,,,,,Prague,1992-12-26,
156,Petr Mrazek\mrazepe01,2013,2020,G,253,0,3,3,0,12,253,118,89,28,.911,2.61,Ostrava,1992-02-14,
157,Frantisek Musil\musilfr01,1987,2001,D,797,34,106,140,93,1241,,,,,,,Pardubice,1964-12-17,
158,Ladislav Nagy\nagyla01,2000,2008,LW,435,115,196,311,35,358,,,,,,,Saca,1979-06-01,
159,Jakub Nakladal\naklaja01,2016,2017,D,30,2,3,5,-9,6,,,,,,,Hradec Kralove,1987-12-30,
160,Stan Neckar\neckast01,1995,2004,D,510,12,41,53,-71,316,,,,,,,Ceske Budejovice,1975-12-22,
161,Vaclav Nedomansky*\nedomva01,1978,1983,RW,421,122,156,278,-94,88,,,,,,,Hodonin,1944-03-14,
162,Andrej Nedorost\nedoran01,2002,2004,LW,28,2,3,5,-9,12,,,,,,,Trencin,1980-04-30,
163,Vaclav Nedorost\nedorva01,2002,2004,C,99,10,10,20,-2,34,,,,,,,Ceske Budejovice,1982-03-16,
164,Petr Nedved\nedvepe01,1991,2007,C,982,310,407,717,-21,708,,,,,,,Liberec,1971-12-09,
165,Zdenek Nedved\nedvezd01,1995,1997,RW,31,4,6,10,3,14,,,,,,,Lany,1975-03-03,
166,Jan Nemecek\nemecja01,1999,2000,D,7,1,0,1,-1,4,,,,,,,Pisek,1976-02-14,
167,Andrej Nestrasil\nestran01,2015,2017,RW,128,17,31,48,0,18,,,,,,,Prague,1991-02-22,
168,Michal Neuvirth\neuvimi01,2009,2019,G,257,0,4,4,0,6,257,105,93,26,.910,2.71,Usti Nad Labem,1988-03-23,
169,Tomas Nosek\nosekto01,2016,2020,C,196,21,21,42,-6,52,,,,,,,Pardubice,1992-09-01,
170,Filip Novak\novakfi01,2006,2007,D,17,0,0,0,-1,6,,,,,,,Ceske Budejovice,1982-05-07,
171,Jiri Novotny\novotji01,2006,2009,C,189,20,31,51,-15,66,,,,,,,Pelhrimov,1983-08-12,
172,Milan Novy\novymi01,1983,1983,C,73,18,30,48,4,16,,,,,,,Kladno,1951-09-23,
173,Jaroslav Obsut\obsutja01,2001,2002,D,7,0,0,0,1,2,,,,,,,Presov,1976-09-03,
174,Rostislav Olesz\oleszro01,2006,2014,LW,365,57,77,134,-11,118,,,,,,,Bilovec,1985-10-10,
175,Peter Olvecky\olvecpe01,2009,2010,C,32,2,5,7,1,12,,,,,,,Trencin,1985-10-11,
176,Vladimir Orszagh\orszavl01,1998,2006,RW,289,54,65,119,-22,194,,,,,,,Banska Bystrica,1977-05-24,
177,Jaroslav Otevrel\otevrja01,1993,1994,LW,16,3,4,7,-11,2,,,,,,,Gottwaldov/Zlin,1968-09-16,
178,Ondrej Palat\palaton01,2013,2020,LW,471,105,208,313,122,147,,,,,,,Frydek-Mistek,1991-03-28,
179,Ziggy Palffy\palffzi01,1994,2006,RW,684,329,384,713,83,322,,,,,,,Skalica,1972-05-05,
180,Richard Panik\panikri01,2013,2020,RW,447,80,87,167,12,242,,,,,,,Martin,1991-02-07,
181,Dusan Pasek\pasekdu01,1989,1989,C,48,4,10,14,-8,30,,,,,,,Bratislava,1960-09-07,1998-03-15
182,Pavel Patera\paterpa01,2000,2001,C,32,2,7,9,-9,8,,,,,,,Kladno,1971-09-06,
183,Ondrej Pavelec\pavelon01,2008,2018,G,398,0,6,6,0,12,398,156,167,48,.907,2.88,Kladno,1987-08-31,
184,Robert Petrovicky\petroro01,1993,2001,C,208,27,38,65,-15,118,,,,,,,Kosice,1973-10-26,
185,Ronald Petrovicky\petroro02,2001,2007,RW,342,41,51,92,-25,429,,,,,,,Zilina,1977-02-15,
186,Jakub Petruzalek\petruja01,2009,2009,C/RW,2,0,1,1,1,0,,,,,,,Most,1985-04-24,
187,Karel Pilar\pilarka01,2002,2004,D,90,6,24,30,-2,42,,,,,,,Prague,1977-12-23,
188,Kamil Piros\piroska01,2002,2004,C,28,4,4,8,-2,10,,,,,,,Most,1978-11-20,
189,Ales Pisa\pisaal01,2002,2003,D,53,1,3,4,12,26,,,,,,,Pardubice,1977-01-02,
190,Libor Pivko\pivkoli01,2004,2004,LW,1,0,0,0,0,0,,,,,,,Novy Vicin,1980-03-29,
191,Michal Pivonka\pivonmi01,1987,1999,C,825,181,418,599,18,476,,,,,,,Kladno,1966-01-28,
192,Tomas Plekanec\plekato01,2004,2019,C,1001,233,375,608,55,543,,,,,,,Kladno,1982-10-31,
193,Vaclav Pletka\pletkva01,2002,2002,RW,1,0,0,0,0,0,,,,,,,Mlada Boleslav,1979-06-08,
194,Tomas Plihal\plihato01,2007,2009,C,89,7,9,16,0,26,,,,,,,Frydlant,1983-03-28,
195,Andrej Podkonicky\podkoan01,2001,2004,C,8,1,0,1,-1,2,,,,,,,Zvolen,1978-05-09,
196,Roman Polak\polakro01,2007,2020,D,790,26,114,140,3,627,,,,,,,Ostrava,1986-04-28,
197,Vojtech Polak\polakvo01,2006,2007,LW,5,0,0,0,-2,0,,,,,,,Ostrov nad Ohri,1985-06-27,
198,Tomas Popperle\poppeto01,2007,2007,G,2,0,0,0,0,0,2,0,0,0,.929,1.35,Broumov,1984-10-10,
199,Marek Posmyk\posmyma01,2000,2001,D,19,1,2,3,0,20,,,,,,,Jihlava,1978-09-15,
200,Jaroslav Pouzar\pouzaja01,1983,1987,LW,186,34,48,82,40,137,,,,,,,Cakovec,1952-01-23,
201,Petr Prajsler\prajspe01,1988,1992,D,46,3,10,13,-4,51,,,,,,,Hradec Kralove,1965-09-21,
202,Martin Prochazka\prochma01,1998,2000,RW,32,2,5,7,-2,8,,,,,,,Slany,1972-03-03,
203,Vinny Prospal\prospva01,1997,2013,C,1108,255,510,765,-57,581,,,,,,,Ceske Budejovice,1975-02-17,
204,Petr Prucha\pruchpe01,2006,2011,RW,346,78,68,146,-4,133,,,,,,,Chrudim,1982-09-14,
205,Martin Prusek\prusema01,2002,2006,G,57,0,1,1,0,0,57,31,12,4,.909,2.36,Ostrava,1975-12-11,
206,Karel Rachunek\rachuka01,2000,2008,D,371,22,118,140,49,227,,,,,,,Gottwaldov/Zlin,1979-08-27,2011-09-07
207,Lukas Radil\radillu01,2019,2020,C,50,7,4,11,4,14,,,,,,,Caslav,1990-08-05,
208,Branko Radivojevic\radivbr01,2002,2008,RW,393,52,68,120,-35,252,,,,,,,Piestany,1980-11-24,
209,Robert Reichel\reichro01,1991,2004,C,830,252,378,630,58,388,,,,,,,Litvinov,1971-06-25,
210,Michal Repik\repikmi01,2009,2012,RW,72,9,11,20,-7,36,,,,,,,Vlasim,1988-12-31,
211,David Rittich\rittida01,2017,2020,G,101,0,1,1,0,24,101,53,26,13,.910,2.73,Jihlava,1992-08-19,
212,Pavel Rosa\rosapa01,1999,2004,RW,36,5,13,18,-1,6,,,,,,,Most,1977-06-07,
213,Michal Rozsival\rozsimi01,2000,2017,D,963,68,241,309,83,704,,,,,,,Vlasim,1978-09-03,
214,Martin Rucinsky\rucinma01,1992,2008,LW,961,241,371,612,46,821,,,,,,,Most,1971-03-11,
215,Jan Rutta\ruttaja02,2018,2020,D,119,9,24,33,7,50,,,,,,,Pisek,1990-07-29,
216,Stefan Ruzicka\ruzicst01,2006,2008,RW,55,4,13,17,-1,47,,,,,,,Nitra,1985-02-17,
217,Vladimir Ruzicka\ruzicvl01,1990,1994,C,233,82,85,167,-57,129,,,,,,,Most,1963-06-06,
218,Alexander Salak\salakal01,2010,2010,G,2,0,0,0,0,0,2,0,1,0,.850,5.41,Strakonice,1987-01-05,
219,Miroslav Satan\satanmi01,1996,2010,LW,1050,363,372,735,20,464,,,,,,,Topolcany,1974-10-22,
220,Robert Schnabel\schnaro01,2002,2004,D,22,0,3,3,6,34,,,,,,,Prague,1978-11-10,
221,Marek Schwarz\schwama01,2007,2009,G,6,0,0,0,0,0,6,0,2,0,.809,4.32,Mlada Boleslav,1986-04-01,
222,Jiri Sejba\sejbaji01,1991,1991,LW,11,0,2,2,-5,8,,,,,,,Pardubice,1962-07-22,
223,Peter Sejna\sejnape01,2003,2007,LW,49,7,4,11,-6,12,,,,,,,Liptovsky Mikulas,1979-10-05,
224,Jiri Sekac\sekacji01,2015,2016,LW,108,10,19,29,-5,38,,,,,,,Kladno,1992-06-10,
225,Andrej Sekera\sekeran01,2007,2020,D,748,47,196,243,3,192,,,,,,,Bojnice,1986-06-08,
226,Lubomir Sekeras\sekerlu01,2001,2004,D,213,18,53,71,-27,122,,,,,,,Trencin,1968-11-18,
227,Jaroslav Sevcik\sevcija01,1990,1990,LW,13,0,2,2,-5,2,,,,,,,Brno,1965-05-15,
228,Radim Simek\simekra01,2019,2020,D,66,2,14,16,-5,18,,,,,,,Mlada Boleslav,1992-09-20,
229,Roman Simicek\simicro01,2001,2002,C,63,7,10,17,-8,59,,,,,,,Ostrava,1971-11-04,
230,Michal Sivek\sivekmi01,2003,2003,C,38,3,3,6,-5,14,,,,,,,Nachod,1981-01-21,
231,Martin Skoula\skoulma01,2000,2010,D,776,44,152,196,16,328,,,,,,,Litomerice,1979-10-28,
232,Pavel Skrbek\skrbepa01,1999,2002,D,12,0,0,0,1,8,,,,,,,Kladno,1978-08-09,
