,,,,,Scoring,Scoring,Scoring,Scoring,Scoring,Scoring,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,Goalie Stats,,,
66,Dmitri Kalinin\kalindm01,2000,2009,D,539,36,126,162,2,321,,,,,,,Chelyabinsk,1980-07-22,
67,Sergey Kalinin\kalinse01,2016,2017,C,121,10,9,19,-23,48,,,,,,,Omsk,1991-03-17,
68,Valeri Kamensky\kamenva01,1992,2002,LW,637,200,301,501,15,383,,,,,,,Voskresensk,1966-04-18,
69,Yan Kaminsky\kaminya01,1994,1995,RW,26,3,2,5,7,4,,,,,,,Penza,1971-07-28,
70,Vitali Karamnov\karamvi01,1993,1995,LW,92,12,20,32,2,65,,,,,,,Moscow,1968-07-06,
71,Valeri Karpov\karpova01,1995,1997,RW,76,14,15,29,-7,32,,,,,,,Chelyabinsk,1971-08-05,2014-10-10
72,Alexander Karpovtsev\karpoal01,1994,2006,D,596,34,154,188,47,430,,,,,,,Moscow,1970-04-07,2011-09-07
73,Martins Karsums\karsuma01,2009,2009,RW,24,1,5,6,-8,6,,,,,,,Riga,1986-02-26,
74,Alexei Kasatonov\kasatal01,1990,1996,D,383,38,122,160,52,326,,,,,,,Leningrad,1959-10-14,
75,Darius Kasparaitis\kaspada01,1993,2007,D,863,27,136,163,39,1379,,,,,,,Elektrenai,1972-10-16,
76,Ronalds Kenins\keninro01,2015,2016,LW,38,4,8,12,-3,14,,,,,,,Riga,1991-02-28,
77,Alexander Kerch\kerchal01,1994,1994,LW,5,0,0,0,-8,2,,,,,,,Arkhangelsk,1967-03-16,
78,Nikolai Khabibulin\khabini01,1995,2014,G,799,0,18,18,0,134,799,333,334,97,.907,2.72,Sverdlovsk,1973-01-13,
79,Sergei Kharin\kharise01,1991,1991,RW,7,2,3,5,2,2,,,,,,,Odintsovo,1963-02-20,
80,Alexander Kharitonov\kharial01,2001,2002,LW,71,7,15,22,-10,12,,,,,,,Moscow,1976-03-30,
81,Alexander Khavanov\khavaal01,2001,2006,D,348,27,75,102,15,233,,,,,,,Moscow,1972-01-30,
82,Yuri Khmylev\khmylyu01,1993,1997,LW,263,64,88,152,9,133,,,,,,,Moscow,1964-08-09,
83,Dmitri Khristich\khrisdm01,1991,2002,LW/C,811,259,337,596,104,422,,,,,,,Kiev,1969-07-23,
84,Anton Khudobin\khudoan01,2010,2020,G,207,0,5,5,0,12,207,94,74,22,.919,2.46,Ust-Kamenogorsk,1986-05-07,
85,Bogdan Kiselevich\kiselbo01,2019,2019,D,32,0,8,8,-3,12,,,,,,,Cherepovets,1990-02-14,
86,Anton Klementyev\klemean01,2010,2010,D,1,0,0,0,0,0,,,,,,,Togliatti,1990-03-25,
87,Sergei Klimovich\klimose01,1997,1997,C,1,0,0,0,0,2,,,,,,,Novosibirsk,1974-03-08,
88,Vitali Kolesnik\kolesvi01,2006,2006,G,8,0,1,1,0,2,8,3,3,0,.888,3.24,Ust-Kamenogorsk,1979-08-20,
89,Konstantin Koltsov\koltsko01,2003,2006,RW,144,12,26,38,-42,50,,,,,,,Minsk,1981-04-17,
90,Leo Komarov\komarle01,2013,2020,C,434,58,97,155,17,182,,,,,,,Narva,1987-01-23,
91,Maxim Kondratiev\kondrma01,2004,2008,D,40,1,2,3,-4,24,,,,,,,Togliatti,1983-01-20,
92,Evgeny Konstantinov\konstev01,2001,2003,G,2,0,0,0,0,2,2,0,0,0,.833,2.94,Kazan,1981-03-29,
93,Vladimir Konstantinov\konstvl01,1992,1997,D,446,47,128,175,185,838,,,,,,,Murmansk,1967-03-19,
94,Evgeny Korolev\korolev01,2000,2002,D,42,1,4,5,-10,20,,,,,,,Moscow,1978-07-24,
95,Igor Korolev\korolig01,1993,2004,C,795,119,227,346,-29,330,,,,,,,Moscow,1970-09-06,2011-09-07
96,Alexander Korolyuk\korolal01,1998,2004,LW,296,62,80,142,26,140,,,,,,,Moscow,1976-01-15,
97,Andrei Kostitsyn\kostian01,2006,2012,LW,398,103,119,222,15,181,,,,,,,Novopolotsk,1985-02-03,
98,Sergei Kostitsyn\kostise01,2008,2013,LW,353,67,109,176,23,188,,,,,,,Novopolotsk,1987-03-20,
99,Ilya Kovalchuk\kovalil01,2002,2020,LW,902,437,426,863,-151,538,,,,,,,Tver,1983-04-15,
100,Andrei Kovalenko\kovalan01,1993,2001,RW,620,173,206,379,-28,389,,,,,,,Balakovo,1970-06-07,
101,Alex Kovalev\kovalal01,1993,2013,RW,1316,430,599,1029,-31,1304,,,,,,,Togliatti,1973-02-24,
102,Viktor Kozlov\kozlovi01,1995,2009,C,897,198,339,537,-3,248,,,,,,,Togliatti,1975-02-14,
103,Vyacheslav Kozlov\kozlovy01,1992,2010,LW,1182,356,497,853,96,704,,,,,,,Voskresensk,1972-05-03,
104,Igor Kravchuk\kravcig01,1992,2003,D,699,64,210,274,-57,251,,,,,,,Ufa,1966-09-13,
105,Mikhail Kravets\kravemi01,1992,1993,RW,2,0,0,0,-1,0,,,,,,,Leningrad,1963-11-12,
106,Sergei Krivokrasov\krivose01,1993,2002,RW,450,86,109,195,0,288,,,,,,,Angarsk,1974-04-15,
107,Vladimir Krutov\krutovl01,1990,1990,LW,61,11,23,34,-5,20,,,,,,,Moscow,1960-06-01,2012-06-06
108,Alexei Kudashov\kudasal01,1994,1994,C,25,1,0,1,-3,4,,,,,,,Elektrostal,1971-07-21,
109,Arturs Kulda\kuldaar01,2010,2012,D,15,0,2,2,3,8,,,,,,,Riga,1988-07-25,
110,Nikolai Kulemin\kulemni01,2009,2018,LW,669,121,153,274,15,173,,,,,,,Magnitogorsk,1986-07-14,
111,Mikhail Kuleshov\kulesmi01,2004,2004,LW,3,0,0,0,-1,0,,,,,,,Perm,1981-01-07,
112,Dmitry Kulikov\kulikdm01,2010,2020,D,653,34,131,165,-52,415,,,,,,,Lipetsk,1990-10-29,
113,Maxim Kuznetsov\kuznema01,2001,2004,D,136,2,8,10,-5,137,,,,,,,Pavlodar,1977-03-24,
114,Dmitri Kvartalnov\kvartdm01,1993,1994,LW,112,42,49,91,0,26,,,,,,,Voskresensk,1966-03-25,
115,Oleg Kvasha\kvashol01,1999,2006,LW/C,493,81,136,217,0,335,,,,,,,Moscow,1978-07-26,
116,Igor Larionov*\larioig01,1990,2004,C,921,169,475,644,104,474,,,,,,,Voskresensk,1960-12-03,
117,Enver Lisin\lisinen01,2007,2010,RW,135,24,18,42,-37,64,,,,,,,Moscow,1986-04-22,
118,Andrei Loktionov\loktian01,2010,2014,C,155,22,26,48,-6,22,,,,,,,Voskresensk,1990-05-30,
119,Andrei Lomakin\lomakan01,1992,1995,RW,215,42,62,104,5,92,,,,,,,Voskresensk,1964-04-03,2006-12-09
120,Roman Lyashenko\lyashro01,2000,2003,C,139,14,9,23,-7,55,,,,,,,Murmansk,1979-05-02,2003-07-06
121,Sergei Makarov*\makarse01,1990,1997,RW,424,134,250,384,67,317,,,,,,,Chelyabinsk,1958-06-19,
122,Vladimir Malakhov\malakvl01,1993,2006,D,712,86,260,346,48,697,,,,,,,Sverdlovsk,1968-08-30,
123,Evgeni Malkin\malkiev01,2007,2020,C,884,404,642,1046,79,936,,,,,,,Magnitogorsk,1986-07-31,
124,Andrei Markov\markoan01,2001,2017,D,990,119,453,572,64,505,,,,,,,Voskresensk,1978-12-20,
125,Danny Markov\markoda01,1998,2007,D,538,29,118,147,47,456,,,,,,,Moscow,1976-07-30,
126,Maksim Mayorov\mayorma01,2009,2012,LW,22,2,1,3,-4,2,,,,,,,Andizhan,1989-03-26,
127,Evgeny Medvedev\medveev01,2016,2016,D,45,4,8,12,5,34,,,,,,,Chelyabinsk,1982-08-27,
128,Alexei Mikhnov\mikhnal01,2007,2007,LW,2,0,0,0,0,0,,,,,,,Kiev,1982-08-31,
129,Oleg Mikulchik\mikulol01,1994,1996,D,37,0,3,3,6,33,,,,,,,Minsk,1964-06-27,
130,Boris Mironov\mironbo01,1994,2004,D,716,76,231,307,-57,891,,,,,,,Moscow,1972-03-21,
131,Dmitri Mironov\mirondm01,1992,2001,D,556,54,206,260,29,568,,,,,,,Moscow,1965-12-25,
132,Alexander Mogilny\mogilal01,1990,2006,RW,990,473,559,1032,81,432,,,,,,,Khabarovsk,1969-02-18,
133,Aleksey Morozov\morozal01,1998,2004,RW,451,84,135,219,-29,98,,,,,,,Moscow,1977-02-16,
134,Sergei Mylnikov\mylnise01,1990,1990,G,10,0,0,0,0,0,10,1,7,2,.857,4.97,Chelyabinsk,1958-10-06,2017-06-20
135,Dmitri Nabokov\nabokdm01,1998,2000,C/LW,55,11,13,24,-5,28,,,,,,,Novosibirsk,1977-01-04,2019-04-14
136,Evgeni Nabokov\nabokev01,2000,2015,G,697,1,15,16,0,118,697,353,227,86,.911,2.44,Kamenogorsk,1975-07-25,
137,Evgeny Namestnikov\namesjo01,1994,2000,D,43,0,9,9,-2,24,,,,,,,Arzamis-Ig,1971-10-09,
138,Andrei Nazarov\nazaran01,1994,2006,LW,571,53,71,124,-69,1409,,,,,,,Chelyabinsk,1974-05-22,
139,Viktor Nechayev\nechavi01,1983,1983,C,3,1,0,1,1,0,,,,,,,Vostochnaya,1955-01-28,
140,Sergei Nemchinov\nemchse01,1992,2002,LW,761,152,193,345,52,251,,,,,,,Moscow,1964-01-14,
141,Nikita Nikitin\nikitni01,2011,2016,D,259,17,59,76,-15,85,,,,,,,Omsk,1986-06-16,
142,Andrei Nikolishin\nikolan01,1995,2004,C,628,93,187,280,23,270,,,,,,,Vorkuta,1973-03-25,
143,Alexander Nikulin\nikulal01,2008,2009,C,3,0,0,0,-3,0,,,,,,,Moscow,1985-08-25,
144,Ivan Novoseltsev\novosiv01,2000,2004,RW,234,31,44,75,-47,112,,,,,,,Golitsino,1979-01-23,
145,Roman Oksiuta\oksiuro01,1994,1997,RW,153,46,41,87,-25,100,,,,,,,Murmansk,1970-08-21,
146,Dmitry Orlov\orlovdm01,2012,2020,D,494,36,138,174,62,191,,,,,,,Novokuznetsk,1991-07-23,
147,Alex Ovechkin\ovechal01,2006,2020,LW,1131,686,569,1255,81,711,,,,,,,Moscow,1985-09-17,
148,Sandis Ozolinsh\ozolisa01,1993,2008,D,875,167,397,564,-44,638,,,,,,,Riga,1972-08-03,
149,Artemi Panarin\panarar01,2016,2020,LW,367,142,245,387,86,114,,,,,,,Korkino,1991-10-30,
150,Grigori Panteleev\pantegr01,1993,1996,LW,54,8,6,14,-11,12,,,,,,,Gastello,1972-11-13,
151,Dimitri Patzold\patzodi01,2008,2008,G,3,0,0,0,0,0,3,0,0,0,.800,5.51,Ust-Kamenogorsk,1983-02-03,
152,Alexander Pechurski\pechual01,2010,2010,G,1,0,0,0,0,0,1,0,0,0,.923,1.69,Magnitogorsk,1990-06-04,
153,Alexander Perezhogin\perezal01,2006,2007,LW,128,15,19,34,16,86,,,,,,,Ust-Kamenogorsk,1983-08-10,
154,Sergei Petrenko\petrese01,1994,1994,LW,14,0,4,4,-3,0,,,,,,,Kharkov,1968-09-10,
155,Oleg Petrov\petrool01,1993,2003,RW,382,72,115,187,-18,101,,,,,,,Moscow,1971-04-18,
156,Sergei Plotnikov\plotnse01,2016,2016,LW,45,0,3,3,-3,24,,,,,,,Komsomolsk,1990-06-03,
157,Alexei Ponikarovsky\ponikal01,2001,2013,LW,678,139,184,323,47,419,,,,,,,Kiev,1980-04-09,
158,Sergei Priakin\priakse01,1989,1991,RW,46,3,8,11,-9,2,,,,,,,Moscow,1963-12-07,
159,Vitali Prokhorov\prokhvi01,1993,1995,LW,83,19,11,30,-9,35,,,,,,,Moscow,1966-12-25,
160,Konstantin Pushkarev\pushkko01,2006,2007,RW,17,2,3,5,-2,8,,,,,,,Ust-Kamenogorsk,1985-02-12,
161,Alexander Radulov\radulal01,2007,2020,RW,424,134,194,328,78,298,,,,,,,Nizhny Tagil,1986-07-05,
162,Igor Radulov\radulig01,2003,2004,LW,43,9,7,16,-5,22,,,,,,,Nizhny Tagil,1982-08-23,
163,Kirill Safronov\safroki01,2002,2003,D,35,2,2,4,-15,16,,,,,,,Leningrad,1981-02-26,
164,Ruslan Salei\saleiru01,1997,2011,D,917,45,159,204,-25,1065,,,,,,,Minsk,1974-11-02,2011-09-07
165,Sergei Samsonov\samsose01,1998,2011,LW,888,235,336,571,11,209,,,,,,,Moscow,1978-10-27,
166,Oleg Saprykin\sapryol01,2000,2007,LW,325,55,82,137,-7,240,,,,,,,Moscow,1981-02-12,
167,Petr Schastlivy\schaspe01,2000,2004,LW,129,18,22,40,3,30,,,,,,,Vikhorevka,1979-04-18,
168,Alex Selivanov\selival01,1995,2001,RW,459,121,114,235,-57,379,,,,,,,Moscow,1971-03-23,
169,Alexander Semak\semakal01,1992,1997,C,289,83,91,174,22,187,,,,,,,Ufa,1966-02-11,
170,Alexei Semenov\semenal01,2003,2009,D,211,7,26,33,1,249,,,,,,,Murmansk,1981-04-10,
171,Anatoli Semenov\semenan01,1991,1997,C/LW,362,68,126,194,25,122,,,,,,,Moscow,1962-03-05,
172,Alexander Semin\seminal01,2004,2016,LW,650,239,278,517,71,582,,,,,,,Krasnojarsk,1984-03-03,
173,Konstantin Shafranov\shafrko01,1997,1997,RW,5,2,1,3,1,0,,,,,,,Kamengorsk,1968-09-11,
174,Yevgeny Shaldybin\shaldye01,1997,1997,D,3,1,0,1,-2,0,,,,,,,Novosibirsk,1975-07-29,
175,Vadim Sharifijanov\shariva01,1997,2000,LW,92,16,21,37,-2,50,,,,,,,Ufa,1975-12-23,
176,Vadim Shipachyov\shipava01,2018,2018,LW,3,1,0,1,3,2,,,,,,,Cherepovets,1987-03-12,
177,Sergei Shirokov\shirose01,2010,2011,RW,8,1,0,1,-3,2,,,,,,,Ozery,1986-03-10,
178,Timofei Shishkanov\shishti01,2004,2006,LW,24,3,2,5,-2,6,,,,,,,Moscow,1983-06-10,
179,Mikhail Shtalenkov\shtalmi01,1994,2000,G,190,0,6,6,0,14,190,62,82,19,.898,2.89,Moscow,1965-10-20,
180,Denis Shvidki\shvidde01,2001,2004,RW,76,11,14,25,-5,30,,,,,,,Kharkov,1980-11-21,
181,Andrei Skopintsev\skopian01,1999,2001,D,40,2,4,6,-10,32,,,,,,,Elektrostal,1971-09-28,
182,Karlis Skrastins\skraska01,1999,2011,D,832,32,104,136,-45,375,,,,,,,Riga,1974-07-09,2011-09-07
183,Peter Skudra\skudrpe01,1998,2003,G,146,0,2,2,0,6,146,51,47,20,.894,2.76,Riga,1973-04-24,
184,Alexei Smirnov\smirnal01,2003,2004,LW,52,3,3,6,-1,20,,,,,,,Tver,1982-01-28,
185,Janis Sprukts\sprukja01,2007,2009,C,14,1,2,3,1,2,,,,,,,Riga,1982-01-31,
186,Sergei Starikov\starise01,1990,1990,D,16,0,1,1,-8,8,,,,,,,Chelyabinsk,1958-12-04,
187,Alexander Suglobov\sugloal01,2004,2007,RW,18,1,0,1,-9,4,,,,,,,Elektrostal,1982-01-15,
188,Maxim Sushinsky\sushima01,2001,2001,RW,30,7,4,11,-7,29,,,,,,,Leningrad,1974-07-01,
189,Alexander Svitov\svitoal01,2003,2007,C,179,13,24,37,-22,223,,,,,,,Omsk,1982-11-03,
190,Daniil Tarasov\tarasda01,2015,2015,RW,5,0,1,1,2,0,,,,,,,Moscow,1991-06-20,
191,Mikhail Tatarinov\tatarmi01,1991,1994,D,161,21,48,69,10,184,,,,,,,Angarsk,1966-07-16,
192,Dmitri Tertyshny\tertydm01,1999,1999,D,62,2,8,10,-1,30,,,,,,,Chelyabinsk,1976-12-26,1999-07-23
193,Alexei Tezikov\tezikal01,1999,2002,D,30,1,1,2,-1,2,,,,,,,Togliatti,1978-06-22,
194,Viktor Tikhonov\tikhovi01,2009,2016,RW,111,11,11,22,-13,40,,,,,,,Riga,1988-05-12,
195,German Titov\titovge01,1994,2002,LW,624,157,220,377,22,311,,,,,,,Moscow,1965-10-16,
196,Denis Tolpeko\tolpede01,2008,2008,RW,26,1,5,6,-4,24,,,,,,,Moscow,1985-01-29,
197,Pavel Torgaev\torgapa01,1996,2000,LW,55,6,14,20,3,20,,,,,,,Gorky,1966-01-25,
198,Andrei Trefilov\trefian01,1993,1999,G,54,0,0,0,0,10,54,12,25,4,.897,3.45,Kirovo-Chepetsk,1969-08-31,
199,Nikolai Tsulygin\tsulyni01,1997,1997,D,22,0,1,1,-5,8,,,,,,,Ufa,1975-05-29,
200,Denis Tsygurov\tsygude01,1994,1996,D,51,1,5,6,-4,45,,,,,,,Chelyabinsk,1971-02-26,2015-01-10
201,Vladimir Tsyplakov\tsyplvl01,1996,2001,LW,331,69,101,170,42,90,,,,,,,Inta,1969-04-18,
202,Oleg Tverdovsky\tverdol01,1995,2007,D,713,77,240,317,-21,291,,,,,,,Donetsk,1976-05-18,
203,Fedor Tyutin\tyutife01,2004,2017,D,872,55,209,264,-53,548,,,,,,,Izhevsk,1983-07-19,
204,Igor Ulanov\ulanoig01,1992,2006,D,739,27,135,162,13,1151,,,,,,,Krasnokamsk,1969-10-01,
205,Semyon Varlamov\varlasi01,2009,2020,G,477,0,7,7,0,22,477,228,175,54,.916,2.66,Samara,1988-04-27,
206,Sergei Varlamov\varlase01,1998,2003,LW,63,8,7,15,5,26,,,,,,,Kiev,1978-07-21,
207,Alexander Vasilevski\vasilal01,1996,1997,RW,4,0,0,0,-2,2,,,,,,,Kiev,1975-01-08,
208,Alexei Vasiliev\vasilal02,2000,2000,D,1,0,0,0,-1,2,,,,,,,Yaroslavl,1977-09-01,
209,Herbert Vasiljevs\vasilhe01,1999,2002,RW,51,8,7,15,-15,22,,,,,,,Riga,1976-05-27,
210,Andrei Vasilyev\vasilan01,1995,1999,LW,16,2,5,7,-1,6,,,,,,,Voskresensk,1972-03-30,
211,Alexander Vasyunov\vasyual01,2011,2011,LW,18,1,4,5,0,0,,,,,,,Yaroslavl,1988-04-22,2011-09-07
212,Vitaly Vishnevski\vishnvi01,2000,2008,D,552,16,52,68,-27,494,,,,,,,Kharkov,1980-03-18,
213,Ivan Vishnevskiy\vishniv01,2009,2010,D,5,0,2,2,-1,2,,,,,,,Barnaul,1988-02-18,
214,Harijs Vitolinsh\vitolha01,1994,1994,C,8,0,0,0,0,4,,,,,,,Riga,1968-04-30,
215,Anton Volchenkov\volchan01,2003,2015,D,696,19,114,133,73,438,,,,,,,Moscow,1982-02-25,
216,Alexandre Volchkov\volchal01,2000,2000,C,3,0,0,0,-2,0,,,,,,,Moscow,1977-09-25,
217,Pavel Vorobiev\vorobpa01,2004,2006,RW,57,10,15,25,-1,38,,,,,,,Karaganda,1982-05-05,
218,Vladimir Vorobiev\vorobvl01,1997,1999,LW,33,9,7,16,-5,14,,,,,,,Cherepovets,1972-10-02,
219,Igor Vyazmikin\vyazmig01,1991,1991,W,4,1,0,1,0,0,,,,,,,Moscow,1966-01-08,2009-10-30
220,Sergei Vyshedkevich\vyshese01,2000,2001,D,30,2,5,7,-10,16,,,,,,,Dedovsk,1975-01-03,
221,Vitali Yachmenev\yachmvi01,1996,2003,LW,487,83,133,216,-30,88,,,,,,,Chelyabinsk,1975-01-08,
222,Egor Yakovlev\yakoveg01,2019,2019,D,25,2,5,7,-6,6,,,,,,,Magnitogorsk,1991-09-17,
223,Mikhail Yakubov\yakubmi01,2004,2006,C,53,2,10,12,-13,20,,,,,,,Barnaul,1982-02-16,
224,Dmitri Yakushin\yakusdm01,2000,2000,D,2,0,0,0,0,2,,,,,,,Kharkov,1978-01-21,
225,Alexei Yashin\yashial01,1994,2007,C,850,337,444,781,-83,401,,,,,,,Sverdlovsk,1973-11-05,
226,Alexei Yegorov\yegoral01,1996,1997,RW,11,3,3,6,-4,2,,,,,,,Leningrad,1975-05-21,2002-03-02
